operator;operatorQID;jurisdictions;jurisdictionQIDs;country;countryQID;city;cityQID;latitude;longitude;phone;email;website;facebook;twitter;youtube;picture;pictureAuthor;pictureLicense;pictureLicenseURL;type;typeQID;creation;QID
Guatemala;http://www.wikidata.org/entity/Q774;Argentina|Paraguay;http://www.wikidata.org/entity/Q414|http://www.wikidata.org/entity/Q733;Argentina;http://www.wikidata.org/entity/Q414;Buenos Aires;http://www.wikidata.org/entity/Q1486;-34.59767;-58.37561;;;https://argentina.minex.gob.gt;EmbaGuateArgentina;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110271911
Guatemala;http://www.wikidata.org/entity/Q774;Australia|New Zealand;http://www.wikidata.org/entity/Q408|http://www.wikidata.org/entity/Q664;Australia;http://www.wikidata.org/entity/Q408;Canberra;http://www.wikidata.org/entity/Q3114;-35.30841;149.13298;;;https://australia.minex.gob.gt;embassyofguatemala;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q106463480
Guatemala;http://www.wikidata.org/entity/Q774;Hungary|Austria|Czech Republic|Slovakia|Slovenia|Romania;http://www.wikidata.org/entity/Q28|http://www.wikidata.org/entity/Q40|http://www.wikidata.org/entity/Q213|http://www.wikidata.org/entity/Q214|http://www.wikidata.org/entity/Q215|http://www.wikidata.org/entity/Q218;Austria;http://www.wikidata.org/entity/Q40;Vienna;http://www.wikidata.org/entity/Q1741;48.1955;16.3762;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Wien-Prinz-Eugen-Str-18.jpg;SchiDD>SchiDD</a>;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q104630541
Guatemala;http://www.wikidata.org/entity/Q774;Belgium|Luxembourg;http://www.wikidata.org/entity/Q31|http://www.wikidata.org/entity/Q32;Belgium;http://www.wikidata.org/entity/Q31;Uccle;http://www.wikidata.org/entity/Q203312;50.8111;4.3627;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Night%20view%20in%20Brussels.jpg;GdML>GdML</a>;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q69518605
Guatemala;http://www.wikidata.org/entity/Q774;Brazil;http://www.wikidata.org/entity/Q155;Brazil;http://www.wikidata.org/entity/Q155;Brasília;http://www.wikidata.org/entity/Q2844;-15.85416;-47.91166;;;https://brasil.minex.gob.gt;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q105702877
Guatemala;http://www.wikidata.org/entity/Q774;Canada;http://www.wikidata.org/entity/Q16;Canada;http://www.wikidata.org/entity/Q16;Ottawa;http://www.wikidata.org/entity/Q1930;45.4212;-75.6972;;;https://canada.minex.gob.gt;embajadaguatecanada;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q5369707
Guatemala;http://www.wikidata.org/entity/Q774;Chile;http://www.wikidata.org/entity/Q298;Chile;http://www.wikidata.org/entity/Q298;Las Condes;http://www.wikidata.org/entity/Q14484;-33.41279;-70.57977;;;;EmbaGuateChile;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110416070
Guatemala;http://www.wikidata.org/entity/Q774;Colombia;http://www.wikidata.org/entity/Q739;Colombia;http://www.wikidata.org/entity/Q739;Bogotá;http://www.wikidata.org/entity/Q2841;4.67071;-74.05321;;;;embajadaguatemaltecaencolombia;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110874435
Guatemala;http://www.wikidata.org/entity/Q774;Costa Rica;http://www.wikidata.org/entity/Q800;Costa Rica;http://www.wikidata.org/entity/Q800;San José;http://www.wikidata.org/entity/Q3070;9.93225;-84.10791;;;;EmbaGuateCostaRica;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111080431
Guatemala;http://www.wikidata.org/entity/Q774;Ecuador;http://www.wikidata.org/entity/Q736;Ecuador;http://www.wikidata.org/entity/Q736;Quito;http://www.wikidata.org/entity/Q2900;-0.17599;-78.48726;;;;guateenecuador;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110749176
